Date,US0001M,US0002M,US0003M,US0006M,US0012M,USSW2,USSW3,USSW5,USSW7,USSW10,USSW15,USSW30
41641,0.1683,0.2125,0.24285,0.3464,0.5826,0.4903,0.8705,1.774,2.454,3.061,3.5613,3.895
41642,0.1647,0.20995,0.23985,0.3452,0.5846,0.5113,0.9,1.792,2.4648,3.0665,3.5635,3.8953
41645,0.1625,0.20825,0.23935,0.3445,0.5854,0.5,0.876,1.7468,2.4203,3.026,3.5315,3.8738
41646,0.1615,0.2082,0.2421,0.3447,0.5866,0.4985,0.8735,1.7375,2.4065,3.0098,3.5145,3.858
41647,0.161,0.2075,0.2404,0.3452,0.5856,0.535,0.952,1.828,2.4835,3.065,3.55,3.8703
41648,0.1603,0.2083,0.24165,0.3439,0.5846,0.546,0.954,1.832,2.4765,3.052,3.5323,3.8525
41649,0.1604,0.20865,0.24165,0.3444,0.5826,0.492,0.8705,1.712,2.3583,2.9515,3.4435,3.7815
41652,0.16,0.20775,0.2389,0.3384,0.5736,0.4774,0.8428,1.677,2.32,2.9105,3.4075,3.749
41653,0.159,0.2055,0.23675,0.3355,0.5681,0.5,0.8785,1.7358,2.379,2.9635,3.453,3.786
41654,0.1587,0.203,0.23785,0.3356,0.5716,0.5185,0.9125,1.763,2.4058,2.991,3.4815,3.8095
41655,0.157,0.2013,0.23635,0.3346,0.5716,0.511,0.9058,1.7405,2.3725,2.951,3.4338,3.76
41656,0.157,0.2023,0.2366,0.3346,0.5721,0.504,0.9035,1.7315,2.356,2.93,3.4103,3.735
41659,0.157,0.2021,0.2371,0.3341,0.5721,0.5055,0.8945,1.7315,2.356,2.93,3.41,3.7345
41660,0.157,0.20235,0.2366,0.3341,0.5726,0.5118,0.912,1.7488,2.3693,2.9333,3.4093,3.7287
41661,0.158,0.20435,0.2371,0.3341,0.5711,0.528,0.9498,1.8035,2.421,2.976,3.441,3.748
41662,0.158,0.20435,0.2386,0.335,0.5725,0.503,0.8823,1.7188,2.3355,2.899,3.366,3.6815
41663,0.1612,0.20325,0.23535,0.3335,0.5721,0.49,0.8503,1.6648,2.276,2.839,3.3063,3.6215
41666,0.1585,0.2005,0.2361,0.3325,0.571,0.497,0.87,1.691,2.3078,2.8714,3.3385,3.6521
41667,0.159,0.19915,0.2361,0.332,0.571,0.486,0.8565,1.678,2.3055,2.8763,3.3503,3.6693
41668,0.1595,0.19865,0.2356,0.3335,0.5704,0.472,0.8318,1.633,2.2453,2.814,3.2895,3.6125
41669,0.1585,0.2004,0.2376,0.337,0.5694,0.4765,0.835,1.6455,2.262,2.831,3.3085,3.6338
41670,0.1565,0.19905,0.2366,0.3363,0.5654,0.459,0.8183,1.607,2.2185,2.7855,3.2665,3.5963
41673,0.1571,0.19975,0.2356,0.3335,0.5629,0.4345,0.7745,1.5563,2.1598,2.72,3.2,3.5285
41674,0.1575,0.2,0.23645,0.3333,0.5617,0.4405,0.7848,1.5845,2.2005,2.773,3.2613,3.6015
41675,0.1575,0.1985,0.23635,0.333,0.5594,0.4435,0.792,1.6035,2.229,2.809,3.304,3.6495
41676,0.1565,0.1991,0.23685,0.3331,0.5579,0.4525,0.8118,1.633,2.2588,2.839,3.3295,3.6705
41677,0.1555,0.1966,0.23385,0.3311,0.5584,0.425,0.7705,1.5803,2.218,2.815,3.316,3.6664
41680,0.15475,0.1955,0.23385,0.3291,0.5509,0.427,0.772,1.5758,2.2043,2.7907,3.2895,3.636
41681,0.15425,0.1976,0.2366,0.332,0.5533,0.449,0.809,1.637,2.269,2.8495,3.343,3.6815
41682,0.1535,0.19735,0.2361,0.331,0.5538,0.4618,0.8355,1.6665,2.3005,2.886,3.379,3.7114
41683,0.1545,0.1971,0.23585,0.331,0.5523,0.438,0.809,1.6203,2.247,2.834,3.33,3.6735
41684,0.1545,0.1988,0.23585,0.329,0.5508,0.448,0.819,1.6413,2.266,2.85,3.342,3.6816
41687,0.1535,0.1945,0.2351,0.33,0.5523,0.448,0.8225,1.642,2.272,2.8565,3.3475,3.682
41688,0.154,0.1942,0.23455,0.3297,0.5533,0.434,0.7875,1.6003,2.2303,2.819,3.318,3.6678
41689,0.1545,0.19425,0.2336,0.329,0.5533,0.451,0.8138,1.636,2.2635,2.85,3.3488,3.699
41690,0.1555,0.19695,0.2356,0.3295,0.5538,0.457,0.8278,1.651,2.2745,2.8565,3.353,3.696
41691,0.1555,0.19595,0.23485,0.3305,0.5553,0.452,0.8218,1.6405,2.257,2.83,3.3215,3.6628
41694,0.1545,0.1947,0.23435,0.3305,0.5533,0.4565,0.829,1.645,2.26,2.833,3.324,3.6642
41695,0.1545,0.194,0.2336,0.3305,0.5533,0.447,0.808,1.6158,2.226,2.7965,3.2845,3.6225
41696,0.1545,0.1945,0.2333,0.3297,0.5505,0.438,0.7928,1.5865,2.1925,2.7628,3.2525,3.5935
41697,0.1545,0.1959,0.2361,0.33,0.5523,0.4445,0.793,1.5778,2.1798,2.7473,3.2303,3.5653
41698,0.1555,0.1975,0.23565,0.3305,0.5533,0.45,0.813,1.6015,2.2005,2.761,3.2405,3.571
41701,0.1553,0.19605,0.23565,0.3305,0.5538,0.444,0.7894,1.566,2.1645,2.726,3.206,3.54
41702,0.1565,0.1965,0.23535,0.3315,0.552,0.467,0.834,1.6388,2.2458,2.8115,3.2945,3.63
41703,0.1556,0.1967,0.2344,0.3311,0.5506,0.465,0.8348,1.637,2.2465,2.8128,3.292,3.6204
41704,0.1544,0.1955,0.2351,0.332,0.552,0.478,0.855,1.667,2.2785,2.8485,3.3315,3.6655
41705,0.1565,0.19695,0.23565,0.3318,0.552,0.509,0.9108,1.7305,2.336,2.892,3.3665,3.691
41708,0.155,0.19925,0.23435,0.332,0.5552,0.506,0.898,1.71,2.3183,2.878,3.3575,3.6855
41709,0.1558,0.19855,0.2333,0.331,0.5552,0.5105,0.8995,1.705,2.3115,2.87,3.3456,3.6715
41710,0.1555,0.19925,0.2341,0.3305,0.5552,0.5005,0.8848,1.6793,2.2788,2.832,3.3088,3.6373
41711,0.155,0.19855,0.23335,0.3318,0.557,0.483,0.847,1.6198,2.2065,2.7545,3.23,3.558
41712,0.15645,0.20075,0.23485,0.3328,0.557,0.482,0.8485,1.6345,2.223,2.7693,3.2423,3.5688
41715,0.1562,0.2002,0.23445,0.3339,0.5571,0.4975,0.8778,1.6675,2.26,2.8075,3.2793,3.6013
41716,0.15675,0.2007,0.23485,0.334,0.5572,0.4848,0.8605,1.644,2.239,2.788,3.261,3.587
41717,0.15755,0.2,0.23385,0.3297,0.5555,0.55,0.989,1.8023,2.3755,2.891,3.333,3.6375
41718,0.1545,0.19675,0.2336,0.33,0.56,0.5525,0.9875,1.8,2.3725,2.892,3.341,3.6453
41719,0.15425,0.19675,0.23285,0.3315,0.5641,0.5618,1.0023,1.7995,2.357,2.8588,3.2925,3.5793
41722,0.15425,0.194,0.2351,0.3325,0.5641,0.5775,1.028,1.8195,2.361,2.846,3.2655,3.5433
41723,0.15375,0.193,0.23435,0.3295,0.5616,0.5702,1.019,1.8233,2.376,2.869,3.2928,3.5705
41724,0.153,0.1936,0.23335,0.3295,0.5621,0.552,0.9898,1.7745,2.321,2.8135,3.2385,3.5218
41725,0.1525,0.19675,0.2336,0.329,0.5616,0.5628,1.0113,1.7948,2.327,2.8035,3.2213,3.5048
41726,0.15175,0.1964,0.23335,0.3289,0.5586,0.5713,1.0318,1.827,2.364,2.8415,3.252,3.524
41729,0.152,0.19325,0.2306,0.3289,0.5581,0.545,0.9918,1.8025,2.3555,2.842,3.261,3.5415
41730,0.151,0.19075,0.2281,0.3279,0.5536,0.551,1.0003,1.82,2.3818,2.8773,3.3033,3.5913
41731,0.152,0.1915,0.2301,0.328,0.5551,0.573,1.041,1.8775,2.4365,2.9235,3.346,3.631
41732,0.1525,0.19275,0.23035,0.328,0.5551,0.5775,1.05,1.888,2.4398,2.9195,3.3358,3.6168
41733,0.1525,0.19125,0.2296,0.3275,0.5556,0.5384,0.9923,1.793,2.3463,2.8348,3.2685,3.5703
41736,0.152,0.1925,0.22935,0.3265,0.5521,0.526,0.9715,1.7775,2.33,2.8203,3.2485,3.5465
41737,0.1504,0.1903,0.2273,0.3265,0.553,0.5285,0.9725,1.767,2.313,2.799,3.227,3.527
41738,0.1509,0.1903,0.22755,0.3265,0.553,0.4965,0.9208,1.72,2.287,2.803,3.2453,3.558
41739,0.1525,0.1919,0.22705,0.324,0.5485,0.4899,0.9115,1.701,2.259,2.77,3.2025,3.507
41740,0.1522,0.19185,0.22645,0.322,0.546,0.4908,0.9043,1.6853,2.2388,2.7428,3.1713,3.4683
41743,0.1517,0.1923,0.22865,0.3227,0.5465,0.506,0.9302,1.7203,2.2685,2.7665,3.186,3.479
41744,0.1514,0.192,0.22635,0.3209,0.5455,0.5095,0.9445,1.7305,2.268,2.751,3.166,3.454
41745,0.152,0.193,0.22785,0.3209,0.5465,0.52,0.9713,1.761,2.2855,2.758,3.162,3.441
41746,0.1522,0.1929,0.22585,0.3198,0.5465,0.548,1.014,1.836,2.371,2.845,3.2485,3.5245
41751,0.1523,0.1935,0.2286,0.3221,0.5483,0.5465,1.0154,1.83,2.357,2.8183,3.2145,3.4838
41752,0.1523,0.193,0.22875,0.3228,0.5483,0.5414,1.0045,1.822,2.345,2.8045,3.1985,3.4685
41753,0.1518,0.1921,0.22785,0.3235,0.5495,0.5445,1.007,1.815,2.333,2.7885,3.1778,3.443
41754,0.152,0.1925,0.2266,0.323,0.5495,0.544,0.9981,1.803,2.318,2.7725,3.166,3.4395
41757,0.1503,0.1901,0.22485,0.3264,0.5495,0.546,1.0025,1.815,2.3413,2.8045,3.2035,3.4797
41758,0.1515,0.1935,0.22535,0.323,0.549,0.553,1.008,1.808,2.332,2.7933,3.1945,3.4763
41759,0.1505,0.18925,0.22335,0.3225,0.549,0.531,0.973,1.757,2.2825,2.754,3.1615,3.4485
41760,0.1505,0.189,0.22285,0.322,0.5475,0.534,0.9755,1.7515,2.268,2.733,3.1315,3.4082
41761,0.1515,0.18975,0.22285,0.3225,0.547,0.5555,1.0025,1.7518,2.252,2.7043,3.095,3.3678
41765,0.1505,0.18925,0.22485,0.3229,0.5436,0.5612,1.011,1.7645,2.263,2.711,3.1005,3.377
41766,0.1515,0.19125,0.22395,0.3235,0.5436,0.535,0.979,1.737,2.2398,2.697,3.099,3.3935
41767,0.15025,0.19175,0.22335,0.3234,0.5421,0.5235,0.957,1.7135,2.2233,2.6898,3.109,3.4178
41768,0.1516,0.19125,0.2241,0.3224,0.5402,0.52,0.9575,1.717,2.231,2.7063,3.123,3.434
41771,0.1511,0.19225,0.2251,0.3224,0.5377,0.5405,0.9795,1.7515,2.2673,2.741,3.1555,3.4613
41772,0.1511,0.19225,0.22385,0.3229,0.5392,0.5198,0.948,1.705,2.221,2.694,3.109,3.4155
41773,0.1511,0.19,0.22535,0.3239,0.5371,0.5013,0.913,1.6553,2.1628,2.6335,3.0465,3.3518
41774,0.151,0.19025,0.22585,0.3239,0.5346,0.496,0.9005,1.6205,2.1165,2.584,2.996,3.297
41775,0.14925,0.19075,0.2286,0.3253,0.5346,0.5105,0.923,1.654,2.156,2.623,3.0275,3.3215
41778,0.1485,0.1912,0.22695,0.3229,0.5346,0.499,0.904,1.646,2.1628,2.646,3.0585,3.3628
41779,0.14775,0.19095,0.2281,0.3253,0.5346,0.488,0.88,1.6098,2.1265,2.6123,3.0358,3.3543
41780,0.1485,0.1935,0.22735,0.3234,0.5336,0.49,0.882,1.6178,2.1375,2.627,3.053,3.374
41781,0.15,0.1925,0.22715,0.3222,0.5341,0.5012,0.9005,1.6393,2.1595,2.647,3.074,3.3895
41782,0.1505,0.1925,0.22935,0.3239,0.5354,0.5065,0.8955,1.62,2.137,2.622,3.044,3.3555
41786,0.1505,0.1935,0.22985,0.3239,0.5354,0.507,0.897,1.622,2.132,2.609,3.0225,3.3265
41787,0.15,0.1932,0.2276,0.3219,0.5354,0.4915,0.866,1.5755,2.07,2.54,2.958,3.2675
41788,0.151,0.1935,0.22735,0.3219,0.5344,0.507,0.8895,1.604,2.0985,2.567,2.9855,3.2995
41789,0.151,0.19075,0.2274,0.3219,0.5344,0.5132,0.9106,1.6205,2.119,2.588,3.0038,3.3078
41792,0.151,0.1905,0.22715,0.3219,0.5345,0.527,0.9365,1.6705,2.1715,2.637,3.0528,3.3568
41793,0.1509,0.1894,0.2274,0.3219,0.535,0.537,0.96,1.7248,2.2408,2.7108,3.1255,3.426
41794,0.152,0.19175,0.2295,0.3219,0.534,0.53,0.955,1.723,2.247,2.721,3.137,3.43
41795,0.151,0.19075,0.2306,0.3224,0.5345,0.523,0.941,1.7123,2.2315,2.7048,3.124,3.4245
41796,0.1535,0.19375,0.2296,0.3214,0.5335,0.541,0.9693,1.7243,2.2393,2.7058,3.1198,3.4155
41799,0.15225,0.19175,0.23055,0.3214,0.5351,0.5655,1.0015,1.7608,2.2663,2.7215,3.1318,3.424
41800,0.152,0.19175,0.2303,0.3214,0.5366,0.5805,1.024,1.7933,2.3018,2.758,3.1663,3.455
41801,0.15125,0.19125,0.2298,0.3203,0.5396,0.578,1.021,1.7795,2.2875,2.7445,3.1489,3.4342
41802,0.15175,0.19405,0.2306,0.324,0.5401,0.5855,1.022,1.767,2.252,2.697,3.0945,3.374
41803,0.15425,0.1965,0.2321,0.3255,0.5446,0.5955,1.0335,1.776,2.262,2.705,3.1,3.379
41806,0.154,0.19525,0.2306,0.3261,0.5466,0.6163,1.052,1.777,2.259,2.6975,3.0875,3.3625
41807,0.155,0.19595,0.231,0.3245,0.5506,0.635,1.085,1.826,2.308,2.745,3.134,3.4068
41808,0.153,0.19345,0.231,0.3254,0.5506,0.606,1.043,1.7588,2.2405,2.679,3.078,3.3663
41809,0.15325,0.192,0.2296,0.3229,0.5456,0.604,1.041,1.7694,2.258,2.711,3.125,3.425
41810,0.154,0.1965,0.2306,0.3234,0.5471,0.605,1.045,1.7705,2.252,2.6963,3.098,3.3928
41813,0.152,0.19625,0.2326,0.3253,0.5471,0.62,1.0635,1.792,2.272,2.716,3.116,3.412
